clouds.all,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain,rain.1h,rain.3h,snow,snow.3h,sys.country,weather,wind.deg,wind.gust,wind.speed
1,42.3459,-71.5523,1553551210,4943170,,15,1016.0,,45.59,48.99,42.01,Marlborough,,,,,,US,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",330.0,,6.93
92,65.5842,-170.989,1553551341,4031637,989.17,95,993.22,993.22,32.85,32.85,32.85,Lavrentiya,,,,,,RU,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",120.0,,28.77
100,-7.9334,-14.4167,1553551342,2411397,1011.41,100,1011.46,1011.46,81.0,81.0,81.0,Georgetown,,,,,,SH,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",124.0,,13.11
20,50.1001,-91.9191,1553547600,6148373,,42,1027.0,,32.0,32.0,32.0,Sioux Lookout,,,,,,CA,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",310.0,,6.93
0,42.7744,-9.0576,1553551311,3115824,,66,1022.0,,55.22,64.0,50.0,Muros,,,,,,ES,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",70.0,,6.93
90,59.7035,30.7861,1553551236,546105,,91,1000.0,,32.61,34.0,32.0,Nikolskoye,,,,,,RU,"[{'id': 620, 'main': 'Snow', 'description': 'light shower snow', 'icon': '13n'}]",280.0,,11.18
100,-20.7371,116.8479,1553551344,6620339,995.01,96,1007.94,1007.94,75.06,75.06,75.06,Karratha,,,5.155,,,AU,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",67.0003,,17.13
90,49.7839,-74.8569,1553551080,5919850,,66,1011.0,,10.4,10.4,10.4,Chapais,,,,,,CA,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",300.0,10.8,12.75
8,-36.7149,142.2018,1553551345,2163055,1005.33,71,1019.82,1019.82,53.64,53.64,53.64,Horsham,,,,,,AU,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '02n'}]",246.0,,10.2
92,33.7241,135.993,1553551345,1847947,1009.09,100,1014.94,1014.94,50.94,50.94,50.94,Shingu,,,4.445,,,JP,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",1.00031,,11.65
92,21.4612,-71.1419,1553551213,3576994,1014.69,100,1014.74,1014.74,72.72,72.72,72.72,Cockburn Town,,,2.785,,,TC,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",91.5003,,12.77
75,-17.2675,145.4762,1553550916,2177541,,100,1013.0,,74.64,77.0,70.0,Atherton,,,,,,AU,"[{'id': 522, 'main': 'Rain', 'description': 'heavy intensity shower rain', 'icon': '09n'}]",60.0003,,4.61
92,-2.5745,150.7967,1553551346,2094342,1010.93,100,1012.02,1012.02,78.75,78.75,78.75,Kavieng,,,5.56,,,PG,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",257.5,,6.06
1,37.4699,-105.8697,1553551271,5411479,,14,1026.0,,53.04,54.0,51.01,Alamosa,,,,,,US,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",214.5,,3.49
0,-33.3484,149.9844,1553551328,2152668,,68,1015.0,,52.7,55.0,50.0,Portland,,,,,,AU,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",238.0,9.83,7.0
0,41.1231,80.2644,1553551348,1529660,855.33,55,1022.18,1022.18,29.52,29.52,29.52,Aksu,,,,,,CN,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",347.0,,5.39
20,67.5537,63.776,1553551348,1486910,985.89,81,1006.42,1006.42,24.57,24.57,24.57,Komsomolskiy,,,,,,RU,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",172.0,,10.09
75,40.5974,-124.1561,1553551330,5563839,,100,1017.0,,51.51,55.99,48.0,Fortuna,,1.65,,,,US,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",140.0,,5.82
40,-20.3112,118.5801,1553549400,2063042,,88,1009.0,,80.6,80.6,80.6,Port Hedland,,,,,,AU,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",20.0,,14.99
